date,shift,team_leader,group,part_number,PO_number,qty_launched,shift_norm,PO_status,tube_fitting,QC_isual,QC_imension,QC_softness,QC_overlap,QC_rubber,OK_qty,scrap_softness,scrap_overlap,scrap_welding,scrap_deformation,scrap_holes,scrap_rubber,scrap_tube,total_scrap,scrap%,Break
2025-01-02,Afternoon,Alex,2,100005039.00.04,4000002,474,720,CLOSED,na,ok,ok,nok,ok,ok,471,2,0,1,0,0,0,0,3,"0,63",18:00-18:30
2025-01-02,Afternoon,Alex,2,100005035.00.03,4000005,276,720,open,na,ok,ok,nok,ok,ok,273,2,0,0,0,1,0,0,3,"1,09",18:00-18:30
2025-01-02,Afternoon,Alex,2,100005039.00.04,4000005,276,720,open,na,ok,ok,nok,ok,ok,273,2,0,0,1,0,0,0,3,"1,09",18:00-18:30
2025-01-03,Morning,John,3,100005049.00.03,4000003,751,750,open,na,ok,ok,nok,nok,ok,746,3,1,1,0,0,0,0,5,"0,67",10:00-10:30
2025-01-03,Morning,John,3,100005051.00.04,4000003,751,750,open,na,ok,ok,nok,nok,ok,747,2,1,1,0,0,0,0,4,"0,53",10:00-10:30
2025-01-03,Afternoon,Alex,3,100005049.00.03,4000003,449,720,CLOSED,na,ok,ok,ok,ok,ok,449,0,0,0,0,0,0,0,0,0,18:00-18:30
2025-01-03,Afternoon,Alex,3,100005051.00.04,4000003,449,720,CLOSED,na,ok,ok,nok,nok,ok,442,4,1,2,0,0,0,0,7,"1,56",18:00-18:30
2025-01-03,Afternoon,Alex,3,100005049.00.03,4000006,275,720,open,na,ok,ok,nok,ok,ok,273,1,0,1,0,0,0,0,2,"0,73",18:00-18:30
2025-01-03,Afternoon,Alex,3,100005051.00.04,4000006,275,720,open,na,ok,ok,nok,nok,ok,270,3,1,0,0,1,0,0,5,"1,82",18:00-18:30
2025-01-06,Morning,John,3,100005049.00.03,4000006,702,750,open,na,ok,ok,nok,nok,ok,698,2,1,0,0,1,0,0,4,"0,57",10:00-10:30
2025-01-06,Morning,John,3,100005051.00.04,4000006,702,750,open,na,ok,ok,nok,nok,ok,696,4,1,1,0,0,0,0,6,"0,85",10:00-10:30
2025-01-06,Afternoon,Alex,3,100005049.00.03,4000006,223,720,CLOSED,na,ok,ok,nok,ok,ok,221,1,0,1,0,0,0,0,2,"0,9",18:00-18:30
2025-01-06,Afternoon,Alex,3,100005051.00.04,4000006,223,720,CLOSED,na,ok,ok,nok,nok,ok,220,2,1,0,0,0,0,0,3,"1,35",18:00-18:30
2025-01-06,Afternoon,Alex,3,100005049.00.03,4000009,489,720,open,na,ok,ok,nok,nok,ok,484,3,1,0,0,1,0,0,5,"1,02",18:00-18:30
2025-01-06,Afternoon,Alex,3,100005051.00.04,4000009,489,720,open,na,ok,ok,nok,nok,ok,484,3,1,1,0,0,0,0,5,"1,02",18:00-18:30
2025-01-07,Morning,John,1,100005078.00.06,4000007,557,720,CLOSED,ok,ok,ok,nok,nok,ok,548,5,3,1,0,0,0,0,9,"1,62",10:00-10:30
2025-01-07,Morning,John,1,100005081.00.05,4000007,557,720,CLOSED,na,ok,ok,nok,nok,ok,554,1,1,0,1,0,0,0,3,"0,54",10:00-10:30
2025-01-07,Morning,John,1,100005058.00.05,4000007,557,720,CLOSED,na,ok,ok,nok,ok,ok,555,1,0,0,1,0,0,0,2,"0,36",10:00-10:30
2025-01-07,Morning,John,1,100005078.00.06,4000010,180,720,open,ok,ok,ok,nok,ok,ok,179,1,0,0,0,0,0,0,1,"0,56",10:00-10:30
2025-01-07,Morning,John,1,100005081.00.05,4000010,180,720,open,na,ok,ok,nok,nok,ok,178,1,1,0,0,0,0,0,2,"1,11",10:00-10:30
2025-01-07,Morning,John,1,100005058.00.05,4000010,180,720,open,na,ok,ok,ok,ok,ok,180,0,0,0,0,0,0,0,0,0,10:00-10:30
2025-01-07,Afternoon,Alex,1,100005078.00.06,4000010,769,750,open,ok,ok,ok,nok,nok,ok,760,4,2,3,0,0,0,0,9,"1,17",18:00-18:30
2025-01-07,Afternoon,Alex,1,100005081.00.05,4000010,769,750,open,na,ok,ok,nok,nok,ok,757,7,3,0,2,0,0,0,12,"1,56",18:00-18:30
2025-01-07,Afternoon,Alex,1,100005058.00.05,4000010,769,750,open,na,ok,ok,nok,nok,ok,765,2,1,0,1,0,0,0,4,"0,52",18:00-18:30
2025-01-08,Morning,Alex,2,100005035.00.03,4000008,706,720,CLOSED,na,ok,ok,nok,nok,ok,695,6,2,0,0,3,0,0,11,"1,56",10:00-10:30
2025-01-08,Morning,Alex,2,100005039.00.04,4000008,706,720,CLOSED,na,ok,ok,nok,nok,ok,698,5,1,0,2,0,0,0,8,"1,13",10:00-10:30
2025-01-08,Morning,Alex,2,100005035.00.03,4000011,36,720,open,na,ok,ok,nok,ok,ok,35,1,0,0,0,0,0,0,1,"2,78",10:00-10:30
2025-01-08,Morning,Alex,2,100005039.00.04,4000011,36,720,open,na,ok,ok,ok,ok,ok,36,0,0,0,0,0,0,0,0,0,10:00-10:30
2025-01-08,Afternoon,John,2,100005035.00.03,4000011,700,750,open,na,ok,ok,nok,nok,ok,693,4,1,0,2,0,0,0,7,1,18:00-18:30
2025-01-08,Afternoon,John,2,100005039.00.04,4000011,700,750,open,na,ok,ok,nok,nok,ok,694,3,1,0,0,2,0,0,6,"0,86",18:00-18:30
2025-01-09,Morning,Alex,3,100005049.00.03,4000009,711,720,CLOSED,na,ok,ok,nok,nok,ok,707,2,1,1,0,0,0,0,4,"0,56",10:00-10:30
2025-01-09,Morning,Alex,3,100005051.00.04,4000009,711,720,CLOSED,na,ok,ok,nok,nok,ok,701,6,2,0,2,0,0,0,10,"1,41",10:00-10:30
2025-01-09,Morning,Alex,3,100005049.00.03,4000012,15,720,open,na,ok,ok,nok,ok,ok,14,1,0,0,0,0,0,0,1,"6,67",10:00-10:30
2025-01-09,Morning,Alex,3,100005051.00.04,4000012,15,720,open,na,ok,ok,ok,ok,ok,15,0,0,0,0,0,0,0,0,0,10:00-10:30
2025-01-09,Afternoon,John,3,100005049.00.03,4000012,739,750,open,na,ok,ok,nok,nok,ok,731,4,1,0,0,3,0,0,8,"1,08",18:00-18:30
2025-01-09,Afternoon,John,3,100005051.00.04,4000012,739,750,open,na,ok,ok,nok,nok,ok,733,3,2,0,0,1,0,0,6,"0,81",18:00-18:30
2025-01-10,Morning,Alex,1,100005078.00.06,4000010,251,720,CLOSED,ok,ok,ok,ok,ok,ok,251,0,0,0,0,0,0,0,0,0,10:00-10:30
2025-01-10,Morning,Alex,1,100005081.00.05,4000010,251,720,CLOSED,na,ok,ok,nok,nok,ok,245,3,2,0,1,0,0,0,6,"2,39",10:00-10:30
2025-01-10,Morning,Alex,1,100005058.00.05,4000010,251,720,CLOSED,na,ok,ok,nok,ok,ok,248,2,0,1,0,0,0,0,3,"1,2",10:00-10:30
2025-01-10,Morning,Alex,1,100005078.00.06,4000013,490,720,open,ok,ok,ok,nok,nok,ok,485,3,1,0,1,0,0,0,5,"1,02",10:00-10:30
2025-01-10,Morning,Alex,1,100005081.00.05,4000013,490,720,open,na,ok,ok,nok,nok,ok,484,3,1,2,0,0,0,0,6,"1,22",10:00-10:30
2025-01-10,Morning,Alex,1,100005058.00.05,4000013,490,720,open,na,ok,ok,ok,ok,ok,490,0,0,0,0,0,0,0,0,0,10:00-10:30
2025-01-10,Afternoon,John,1,100005078.00.06,4000013,710,720,CLOSED,ok,ok,ok,nok,nok,ok,704,3,2,1,0,0,0,0,6,"0,85",18:00-18:30
2025-01-10,Afternoon,John,1,100005081.00.05,4000013,710,720,CLOSED,na,ok,ok,nok,nok,ok,699,6,3,2,0,0,0,0,11,"1,55",18:00-18:30
2025-01-10,Afternoon,John,1,100005058.00.05,4000013,710,720,CLOSED,na,ok,ok,nok,nok,ok,707,1,1,1,0,0,0,0,3,"0,42",18:00-18:30
2025-01-10,Afternoon,John,1,100005078.00.06,4000014,49,720,open,ok,ok,ok,ok,ok,ok,49,0,0,0,0,0,0,0,0,0,18:00-18:30
2025-01-10,Afternoon,John,1,100005081.00.05,4000014,49,720,open,na,ok,ok,ok,nok,ok,48,0,1,0,0,0,0,0,1,"2,04",18:00-18:30
2025-01-10,Afternoon,John,1,100005058.00.05,4000014,49,720,open,na,ok,ok,nok,ok,ok,48,1,0,0,0,0,0,0,1,"2,04",18:00-18:30
2025-01-13,Morning,Alex,1,100005078.00.06,4000014,741,750,open,ok,ok,ok,nok,nok,ok,734,3,3,0,0,1,0,0,7,"0,94",10:00-10:30
2025-01-13,Morning,Alex,1,100005081.00.05,4000014,741,750,open,na,ok,ok,nok,nok,ok,736,2,1,2,0,0,0,0,5,"0,67",10:00-10:30
2025-01-13,Morning,Alex,1,100005058.00.05,4000014,741,750,open,na,ok,ok,nok,nok,ok,732,5,2,0,0,2,0,0,9,"1,21",10:00-10:30
2025-01-13,Afternoon,John,1,100005078.00.06,4000014,410,720,CLOSED,ok,ok,ok,nok,ok,ok,407,2,0,0,0,1,0,0,3,"0,73",18:00-18:30
2025-01-13,Afternoon,John,1,100005081.00.05,4000014,410,720,CLOSED,na,ok,ok,nok,nok,ok,407,2,1,0,0,0,0,0,3,"0,73",18:00-18:30
2025-01-13,Afternoon,John,1,100005058.00.05,4000014,410,720,CLOSED,na,ok,ok,nok,nok,ok,406,2,1,0,0,1,0,0,4,"0,98",18:00-18:30
2025-01-13,Afternoon,John,1,100005078.00.06,4000017,329,720,open,ok,ok,ok,nok,nok,ok,325,2,1,0,0,1,0,0,4,"1,22",18:00-18:30
2025-01-13,Afternoon,John,1,100005081.00.05,4000017,329,720,open,na,ok,ok,nok,ok,ok,327,1,0,1,0,0,0,0,2,"0,61",18:00-18:30
2025-01-13,Afternoon,John,1,100005058.00.05,4000017,329,720,open,na,ok,ok,ok,ok,ok,329,0,0,0,0,0,0,0,0,0,18:00-18:30
2025-01-14,Morning,Alex,2,100005035.00.03,4000015,239,720,CLOSED,na,ok,ok,nok,ok,ok,238,1,0,0,0,0,0,0,1,"0,42",10:00-10:30
2025-01-14,Morning,Alex,2,100005039.00.04,4000015,239,720,CLOSED,na,ok,ok,nok,ok,ok,238,1,0,0,0,0,0,0,1,"0,42",10:00-10:30
2025-01-14,Morning,Alex,2,100005035.00.03,4000018,476,720,open,na,ok,ok,nok,nok,ok,471,2,2,0,1,0,0,0,5,"1,05",10:00-10:30
2025-01-14,Morning,Alex,2,100005039.00.04,4000018,476,720,open,na,ok,ok,nok,nok,ok,467,5,2,0,0,2,0,0,9,"1,89",10:00-10:30
2025-01-14,Afternoon,John,2,100005035.00.03,4000018,700,750,open,na,ok,ok,nok,nok,ok,691,6,2,0,0,1,0,0,9,"1,29",18:00-18:30
2025-01-14,Afternoon,John,2,100005039.00.04,4000018,700,750,open,na,ok,ok,nok,nok,ok,695,3,1,0,0,1,0,0,5,"0,71",18:00-18:30
2025-01-15,Morning,John,3,100005049.00.03,4000016,175,720,CLOSED,na,ok,ok,nok,nok,ok,171,2,1,1,0,0,0,0,4,"2,29",10:00-10:30
2025-01-15,Morning,John,3,100005051.00.04,4000016,175,720,CLOSED,na,ok,ok,nok,ok,ok,173,1,0,1,0,0,0,0,2,"1,14",10:00-10:30
2025-01-15,Morning,John,3,100005049.00.03,4000019,584,720,open,na,ok,ok,nok,nok,ok,579,2,2,1,0,0,0,0,5,"0,86",10:00-10:30
2025-01-15,Morning,John,3,100005051.00.04,4000019,584,720,open,na,ok,ok,nok,nok,ok,580,2,1,0,0,1,0,0,4,"0,68",10:00-10:30
2025-01-15,Afternoon,Alex,3,100005049.00.03,4000019,616,720,CLOSED,na,ok,ok,nok,ok,ok,613,2,0,0,1,0,0,0,3,"0,49",18:00-18:30
2025-01-15,Afternoon,Alex,3,100005051.00.04,4000019,616,720,CLOSED,na,ok,ok,nok,nok,ok,611,3,1,0,0,1,0,0,5,"0,81",18:00-18:30
2025-01-15,Afternoon,Alex,3,100005049.00.03,4000020,110,720,open,na,ok,ok,ok,ok,ok,110,0,0,0,0,0,0,0,0,0,18:00-18:30
2025-01-15,Afternoon,Alex,3,100005051.00.04,4000020,110,720,open,na,ok,ok,ok,ok,ok,110,0,0,0,0,0,0,0,0,0,18:00-18:30
2025-01-16,Morning,John,1,100005078.00.06,4000017,744,750,open,ok,ok,ok,nok,nok,ok,735,6,2,0,1,0,0,0,9,"1,21",10:00-10:30
2025-01-16,Morning,John,1,100005081.00.05,4000017,744,750,open,na,ok,ok,nok,nok,ok,736,4,3,0,0,1,0,0,8,"1,08",10:00-10:30
2025-01-16,Morning,John,1,100005058.00.05,4000017,744,750,open,na,ok,ok,nok,nok,ok,739,3,1,0,0,1,0,0,5,"0,67",10:00-10:30
2025-01-16,Afternoon,Alex,1,100005078.00.06,4000017,127,720,CLOSED,ok,ok,ok,nok,ok,ok,126,1,0,0,0,0,0,0,1,"0,79",18:00-18:30
2025-01-16,Afternoon,Alex,1,100005081.00.05,4000017,127,720,CLOSED,na,ok,ok,nok,nok,ok,124,2,1,0,0,0,0,0,3,"2,36",18:00-18:30
2025-01-16,Afternoon,Alex,1,100005058.00.05,4000017,127,720,CLOSED,na,ok,ok,nok,ok,ok,126,1,0,0,0,0,0,0,1,"0,79",18:00-18:30
2025-01-16,Afternoon,Alex,1,100005078.00.06,4000021,613,720,open,ok,ok,ok,nok,nok,ok,606,4,2,0,1,0,0,0,7,"1,14",18:00-18:30
2025-01-16,Afternoon,Alex,1,100005081.00.05,4000021,613,720,open,na,ok,ok,nok,nok,ok,604,5,3,0,0,1,0,0,9,"1,47",18:00-18:30
2025-01-16,Afternoon,Alex,1,100005058.00.05,4000021,613,720,open,na,ok,ok,nok,nok,ok,604,6,1,0,2,0,0,0,9,"1,47",18:00-18:30
2025-01-17,Morning,John,2,100005035.00.03,4000018,24,720,CLOSED,na,ok,ok,nok,ok,ok,23,1,0,0,0,0,0,0,1,"4,17",10:00-10:30
2025-01-17,Morning,John,2,100005039.00.04,4000018,24,720,CLOSED,na,ok,ok,nok,ok,ok,23,1,0,0,0,0,0,0,1,"4,17",10:00-10:30
2025-01-17,Morning,John,2,100005035.00.03,4000022,729,720,open,na,ok,ok,nok,nok,ok,725,2,1,0,1,0,0,0,4,"0,55",10:00-10:30
2025-01-17,Morning,John,2,100005039.00.04,4000022,729,720,open,na,ok,ok,nok,nok,ok,724,3,1,0,1,0,0,0,5,"0,69",10:00-10:30
2025-01-17,Afternoon,Alex,2,100005035.00.03,4000022,471,720,CLOSED,na,ok,ok,nok,nok,ok,468,2,1,0,0,0,0,0,3,"0,64",18:00-18:30
2025-01-17,Afternoon,Alex,2,100005039.00.04,4000022,471,720,CLOSED,na,ok,ok,nok,nok,ok,468,2,1,0,0,0,0,0,3,"0,64",18:00-18:30
2025-01-17,Afternoon,Alex,2,100005035.00.03,4000023,241,720,open,na,ok,ok,nok,nok,ok,237,2,1,0,0,1,0,0,4,"1,66",18:00-18:30
2025-01-17,Afternoon,Alex,2,100005039.00.04,4000023,241,720,open,na,ok,ok,nok,nok,ok,238,2,1,0,0,0,0,0,3,"1,24",18:00-18:30
2025-01-20,Morning,John,2,100005035.00.03,4000023,712,750,open,na,ok,ok,nok,nok,ok,705,4,2,0,0,1,0,0,7,"0,98",10:00-10:30
2025-01-20,Morning,John,2,100005039.00.04,4000023,712,750,open,na,ok,ok,nok,ok,ok,710,1,0,1,0,0,0,0,2,"0,28",10:00-10:30
2025-01-20,Afternoon,Alex,2,100005035.00.03,4000023,247,720,CLOSED,na,ok,ok,nok,ok,ok,246,1,0,0,0,0,0,0,1,"0,4",18:00-18:30
2025-01-20,Afternoon,Alex,2,100005039.00.04,4000023,247,720,CLOSED,na,ok,ok,nok,nok,ok,244,2,1,0,0,0,0,0,3,"1,21",18:00-18:30
2025-01-20,Afternoon,Alex,2,100005035.00.03,4000026,504,720,open,na,ok,ok,nok,nok,ok,500,2,1,0,1,0,0,0,4,"0,79",18:00-18:30
2025-01-20,Afternoon,Alex,2,100005039.00.04,4000026,504,720,open,na,ok,ok,nok,nok,ok,501,2,1,0,0,0,0,0,3,"0,6",18:00-18:30
2025-01-21,Morning,John,3,100005049.00.03,4000024,728,750,open,na,ok,ok,nok,nok,ok,721,3,2,2,0,0,0,0,7,"0,96",10:00-10:30
2025-01-21,Morning,John,3,100005051.00.04,4000024,728,750,open,na,ok,ok,nok,nok,ok,723,3,1,1,0,0,0,0,5,"0,69",10:00-10:30
2025-01-21,Afternoon,Alex,3,100005049.00.03,4000024,107,720,CLOSED,na,ok,ok,ok,nok,ok,106,0,1,0,0,0,0,0,1,"0,93",18:00-18:30
2025-01-21,Afternoon,Alex,3,100005051.00.04,4000024,107,720,CLOSED,na,ok,ok,nok,ok,ok,106,1,0,0,0,0,0,0,1,"0,93",18:00-18:30
2025-01-21,Afternoon,Alex,3,100005049.00.03,4000027,647,720,open,na,ok,ok,nok,nok,ok,638,4,3,2,0,0,0,0,9,"1,39",18:00-18:30
2025-01-21,Afternoon,Alex,3,100005051.00.04,4000027,647,720,open,na,ok,ok,nok,nok,ok,643,2,1,0,1,0,0,0,4,"0,62",18:00-18:30
2025-01-22,Morning,Alex,1,100005078.00.06,4000025,278,720,CLOSED,ok,ok,ok,nok,ok,ok,277,1,0,0,0,0,0,0,1,"0,36",10:00-10:30
2025-01-22,Morning,Alex,1,100005081.00.05,4000025,278,720,CLOSED,na,ok,ok,nok,nok,ok,273,2,2,1,0,0,0,0,5,"1,8",10:00-10:30
2025-01-22,Morning,Alex,1,100005058.00.05,4000025,278,720,CLOSED,na,ok,ok,nok,nok,ok,272,3,2,0,0,1,0,0,6,"2,16",10:00-10:30
2025-01-22,Morning,Alex,1,100005078.00.06,4000028,482,720,open,ok,ok,ok,nok,nok,ok,480,1,1,0,0,0,0,0,2,"0,41",10:00-10:30
2025-01-22,Morning,Alex,1,100005081.00.05,4000028,482,720,open,na,ok,ok,nok,nok,ok,476,3,2,0,1,0,0,0,6,"1,24",10:00-10:30
2025-01-22,Morning,Alex,1,100005058.00.05,4000028,482,720,open,na,ok,ok,nok,nok,ok,476,3,1,2,0,0,0,0,6,"1,24",10:00-10:30
2025-01-22,Afternoon,John,1,100005078.00.06,4000028,718,720,CLOSED,ok,ok,ok,nok,nok,ok,710,5,2,0,0,1,0,0,8,"1,11",18:00-18:30
2025-01-22,Afternoon,John,1,100005081.00.05,4000028,718,720,CLOSED,na,ok,ok,nok,nok,ok,713,3,1,0,1,0,0,0,5,"0,7",18:00-18:30
2025-01-22,Afternoon,John,1,100005058.00.05,4000028,718,720,CLOSED,na,ok,ok,nok,nok,ok,712,4,1,1,0,0,0,0,6,"0,84",18:00-18:30
2025-01-22,Afternoon,John,1,100005078.00.06,4000029,40,720,open,ok,ok,ok,nok,ok,ok,39,1,0,0,0,0,0,0,1,"2,5",18:00-18:30
2025-01-22,Afternoon,John,1,100005081.00.05,4000029,40,720,open,na,ok,ok,nok,ok,ok,39,1,0,0,0,0,0,0,1,"2,5",18:00-18:30
2025-01-22,Afternoon,John,1,100005058.00.05,4000029,40,720,open,na,ok,ok,nok,ok,ok,39,1,0,0,0,0,0,0,1,"2,5",18:00-18:30
2025-01-23,Morning,Alex,2,100005035.00.03,4000026,696,720,CLOSED,na,ok,ok,nok,nok,ok,687,4,3,2,0,0,0,0,9,"1,29",10:00-10:30
2025-01-23,Morning,Alex,2,100005039.00.04,4000026,696,720,CLOSED,na,ok,ok,nok,nok,ok,685,5,4,0,2,0,0,0,11,"1,58",10:00-10:30
2025-01-23,Morning,Alex,2,100005035.00.03,4000030,36,720,open,na,ok,ok,nok,ok,ok,35,1,0,0,0,0,0,0,1,"2,78",10:00-10:30
2025-01-23,Morning,Alex,2,100005039.00.04,4000030,36,720,open,na,ok,ok,ok,ok,ok,36,0,0,0,0,0,0,0,0,0,10:00-10:30
2025-01-23,Afternoon,John,2,100005035.00.03,4000030,750,750,open,na,ok,ok,nok,nok,ok,741,4,2,3,0,0,0,0,9,"1,2",18:00-18:30
2025-01-23,Afternoon,John,2,100005039.00.04,4000030,750,750,open,na,ok,ok,nok,nok,ok,744,4,1,0,1,0,0,0,6,"0,8",18:00-18:30
2025-01-24,Morning,Alex,3,100005049.00.03,4000027,553,720,CLOSED,na,ok,ok,nok,nok,ok,546,4,2,1,0,0,0,0,7,"1,27",10:00-10:30
2025-01-24,Morning,Alex,3,100005051.00.04,4000027,553,720,CLOSED,na,ok,ok,nok,ok,ok,551,1,0,0,1,0,0,0,2,"0,36",10:00-10:30
2025-01-24,Morning,Alex,3,100005049.00.03,4000031,167,720,open,na,ok,ok,nok,ok,ok,166,1,0,0,0,0,0,0,1,"0,6",10:00-10:30
2025-01-24,Morning,Alex,3,100005051.00.04,4000031,167,720,open,na,ok,ok,nok,ok,ok,165,1,0,0,0,1,0,0,2,"1,2",10:00-10:30
2025-01-24,Afternoon,John,3,100005049.00.03,4000031,708,750,open,na,ok,ok,nok,nok,ok,700,5,1,0,2,0,0,0,8,"1,13",18:00-18:30
2025-01-24,Afternoon,John,3,100005051.00.04,4000031,708,750,open,na,ok,ok,nok,nok,ok,701,4,1,0,2,0,0,0,7,"0,99",18:00-18:30
2025-01-27,Morning,Alex,3,100005049.00.03,4000031,325,720,CLOSED,na,ok,ok,nok,nok,ok,320,3,1,0,0,1,0,0,5,"1,54",10:00-10:30
2025-01-27,Morning,Alex,3,100005051.00.04,4000031,325,720,CLOSED,na,ok,ok,nok,nok,ok,323,1,1,0,0,0,0,0,2,"0,62",10:00-10:30
2025-01-27,Morning,Alex,3,100005049.00.03,4000034,407,720,open,na,ok,ok,nok,nok,ok,403,2,1,1,0,0,0,0,4,"0,98",10:00-10:30
2025-01-27,Morning,Alex,3,100005051.00.04,4000034,407,720,open,na,ok,ok,nok,ok,ok,405,1,0,0,1,0,0,0,2,"0,49",10:00-10:30
2025-01-27,Afternoon,John,3,100005049.00.03,4000034,724,750,open,na,ok,ok,nok,nok,ok,720,2,1,1,0,0,0,0,4,"0,55",18:00-18:30
2025-01-27,Afternoon,John,3,100005051.00.04,4000034,724,750,open,na,ok,ok,nok,nok,ok,716,5,2,0,0,1,0,0,8,"1,1",18:00-18:30
2025-01-28,Morning,Alex,1,100005078.00.06,4000032,735,750,open,ok,ok,ok,nok,nok,ok,727,4,2,0,0,2,0,0,8,"1,09",10:00-10:30
2025-01-28,Morning,Alex,1,100005081.00.05,4000032,735,750,open,na,ok,ok,nok,nok,ok,731,2,1,0,0,1,0,0,4,"0,54",10:00-10:30
2025-01-28,Morning,Alex,1,100005058.00.05,4000032,735,750,open,na,ok,ok,nok,nok,ok,724,7,2,2,0,0,0,0,11,"1,5",10:00-10:30
2025-01-28,Afternoon,John,1,100005078.00.06,4000032,116,720,CLOSED,ok,ok,ok,ok,ok,ok,116,0,0,0,0,0,0,0,0,0,18:00-18:30
2025-01-28,Afternoon,John,1,100005081.00.05,4000032,116,720,CLOSED,na,ok,ok,nok,ok,ok,113,2,0,0,0,1,0,0,3,"2,59",18:00-18:30
2025-01-28,Afternoon,John,1,100005058.00.05,4000032,116,720,CLOSED,na,ok,ok,nok,ok,ok,115,1,0,0,0,0,0,0,1,"0,86",18:00-18:30
2025-01-28,Afternoon,John,1,100005078.00.06,4000035,653,720,open,ok,ok,ok,nok,nok,ok,647,3,2,1,0,0,0,0,6,"0,92",18:00-18:30
2025-01-28,Afternoon,John,1,100005081.00.05,4000035,653,720,open,na,ok,ok,nok,nok,ok,646,4,1,0,0,2,0,0,7,"1,07",18:00-18:30
2025-01-28,Afternoon,John,1,100005058.00.05,4000035,653,720,open,na,ok,ok,nok,nok,ok,645,5,1,0,2,0,0,0,8,"1,23",18:00-18:30
2025-01-29,Morning,John,2,100005035.00.03,4000033,151,720,CLOSED,na,ok,ok,ok,ok,ok,151,0,0,0,0,0,0,0,0,0,10:00-10:30
2025-01-29,Morning,John,2,100005039.00.04,4000033,151,720,CLOSED,na,ok,ok,nok,ok,ok,150,1,0,0,0,0,0,0,1,"0,66",10:00-10:30
2025-01-29,Morning,John,2,100005035.00.03,4000036,563,720,open,na,ok,ok,nok,nok,ok,558,3,1,1,0,0,0,0,5,"0,89",10:00-10:30
2025-01-29,Morning,John,2,100005039.00.04,4000036,563,720,open,na,ok,ok,nok,nok,ok,554,5,2,0,2,0,0,0,9,"1,6",10:00-10:30
2025-01-29,Afternoon,Alex,2,100005035.00.03,4000036,637,720,CLOSED,na,ok,ok,nok,nok,ok,629,4,1,0,0,3,0,0,8,"1,26",18:00-18:30
2025-01-29,Afternoon,Alex,2,100005039.00.04,4000036,637,720,CLOSED,na,ok,ok,nok,nok,ok,628,5,2,0,0,2,0,0,9,"1,41",18:00-18:30
2025-01-29,Afternoon,Alex,2,100005035.00.03,4000037,73,720,open,na,ok,ok,nok,ok,ok,72,1,0,0,0,0,0,0,1,"1,37",18:00-18:30
2025-01-29,Afternoon,Alex,2,100005039.00.04,4000037,73,720,open,na,ok,ok,ok,ok,ok,73,0,0,0,0,0,0,0,0,0,18:00-18:30
2025-01-30,Morning,John,3,100005049.00.03,4000034,69,720,CLOSED,na,ok,ok,ok,ok,ok,69,0,0,0,0,0,0,0,0,0,10:00-10:30
2025-01-30,Morning,John,3,100005051.00.04,4000034,69,720,CLOSED,na,ok,ok,ok,ok,ok,69,0,0,0,0,0,0,0,0,0,10:00-10:30
2025-01-30,Morning,John,3,100005049.00.03,4000038,670,720,open,na,ok,ok,nok,nok,ok,663,4,1,2,0,0,0,0,7,"1,04",10:00-10:30
